Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Architecture,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status
2463,pretrained,Qwen/Qwen2.5-Math-7B,17.84,0.25,0.45,0.31,0.29,0.38,0.27,,bfloat16,7.616B,apache-2.0,1.34 kg,41,2024-09-16,2024-09-21,1,Qwen/Qwen2.5-7B,Yes,Yes,Yes,No,No
2468,pretrained,01-ai/Yi-9B,17.77,0.27,0.49,0.05,0.32,0.41,0.36,,bfloat16,8.829B,apache-2.0,0.77 kg,186,2024-03-01,2024-06-12,0,01-ai/Yi-9B,No,Yes,Yes,No,No
2469,chat,HuggingFaceH4/zephyr-7b-beta,17.77,0.5,0.43,0.03,0.29,0.39,0.28,,bfloat16,7.242B,mit,0.56 kg,1651,2023-10-26,2024-06-12,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
2473,pretrained,01-ai/Yi-9B-200K,17.74,0.23,0.48,0.07,0.32,0.43,0.36,,bfloat16,8.829B,apache-2.0,0.77 kg,75,2024-03-15,2024-06-12,0,01-ai/Yi-9B-200K,No,Yes,Yes,No,No
2475,chat,Open-Orca/Mistral-7B-OpenOrca,17.7,0.5,0.48,0.03,0.27,0.39,0.27,,bfloat16,7B,apache-2.0,0.53 kg,677,2023-09-29,2024-06-12,0,Open-Orca/Mistral-7B-OpenOrca,Yes,Yes,Yes,No,No
2479,fine-tuned,nvidia/Mistral-NeMo-Minitron-8B-Base,17.66,0.19,0.52,0.05,0.33,0.41,0.38,,bfloat16,7.88B,other,3.40 kg,169,2024-08-19,2024-08-22,0,nvidia/Mistral-NeMo-Minitron-8B-Base,No,Yes,Yes,No,No
2480,chat,mlabonne/AlphaMonarch-7B,17.66,0.49,0.46,0.04,0.27,0.41,0.25,,float16,7.242B,cc-by-nc-4.0,0.57 kg,149,2024-02-14,2024-06-12,1,mlabonne/AlphaMonarch-7B (Merge),Yes,Yes,Yes,No,No
2496,chat,google/gemma-1.1-7b-it,17.48,0.5,0.39,0.04,0.29,0.42,0.26,,bfloat16,8.538B,gemma,0.58 kg,270,2024-03-26,2024-06-12,0,google/gemma-1.1-7b-it,Yes,Yes,Yes,No,No
2498,chat,Deci/DeciLM-7B-instruct,17.46,0.49,0.46,0.03,0.29,0.39,0.26,,bfloat16,7.044B,apache-2.0,0.64 kg,96,2023-12-10,2024-06-12,0,Deci/DeciLM-7B-instruct,Yes,Yes,Yes,No,No
2530,pretrained,google/gemma-2-2b-jpn-it,17.12,0.51,0.42,0.03,0.29,0.4,0.26,,float16,2.614B,gemma,1.01 kg,160,2024-09-25,2024-10-11,2,google/gemma-2-2b,No,Yes,Yes,No,No
2531,pretrained,Qwen/Qwen2.5-3B,17.11,0.27,0.46,0.09,0.3,0.43,0.32,,bfloat16,3.086B,other,3.81 kg,55,2024-09-15,2024-09-27,0,Qwen/Qwen2.5-3B,No,Yes,Yes,No,No
2532,chat,ibm-granite/granite-3.1-3b-a800m-instruct,17.1,0.55,0.4,0.1,0.29,0.35,0.21,,float16,3.299B,apache-2.0,1.64 kg,20,2024-12-06,2024-12-16,1,ibm-granite/granite-3.1-3b-a800m-instruct (Merge),Yes,Yes,Yes,No,No
2540,fine-tuned,google/gemma-2-2b-it,17.05,0.57,0.42,0.0,0.27,0.39,0.25,,bfloat16,2.614B,gemma,1.23 kg,931,2024-07-16,2024-07-31,1,google/gemma-2-2b,Yes,Yes,Yes,No,No
2543,fine-tuned,Salesforce/LLaMA-3-8B-SFR-Iterative-DPO-R,17.03,0.38,0.5,0.0,0.29,0.36,0.32,,bfloat16,8.03B,llama3,0.86 kg,78,2024-05-09,2024-07-02,0,Salesforce/LLaMA-3-8B-SFR-Iterative-DPO-R,Yes,Yes,Yes,No,No
2552,fine-tuned,01-ai/Yi-Coder-9B-Chat,16.87,0.48,0.48,0.03,0.25,0.4,0.24,,bfloat16,8.829B,apache-2.0,0.91 kg,195,2024-08-21,2024-09-12,1,01-ai/Yi-Coder-9B,Yes,Yes,Yes,No,No
2560,chat,ibm/merlinite-7b,16.76,0.25,0.5,0.02,0.3,0.44,0.31,,bfloat16,7.242B,apache-2.0,0.55 kg,104,2024-03-02,2024-06-09,1,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No
2564,pretrained,01-ai/Yi-1.5-6B,16.7,0.26,0.45,0.06,0.31,0.44,0.31,,bfloat16,6.061B,apache-2.0,1.18 kg,30,2024-05-11,2024-08-10,0,01-ai/Yi-1.5-6B,No,Yes,Yes,No,No
2572,fine-tuned,CausalLM/14B,16.64,0.28,0.47,0.04,0.3,0.42,0.32,,bfloat16,14B,wtfpl,1.00 kg,300,2023-10-22,2024-06-12,0,CausalLM/14B,No,Yes,Yes,No,No
2581,chat,Qwen/Qwen1.5-7B-Chat,16.58,0.44,0.45,0.0,0.3,0.38,0.3,,bfloat16,7.721B,other,1.08 kg,165,2024-01-30,2024-06-12,0,Qwen/Qwen1.5-7B-Chat,Yes,Yes,Yes,No,No
2589,chat,Qwen/Qwen2.5-Math-7B-Instruct,16.51,0.26,0.44,0.27,0.26,0.36,0.28,,bfloat16,7B,apache-2.0,1.14 kg,54,2024-09-19,2024-09-19,2,Qwen/Qwen2.5-7B,Yes,Yes,Yes,No,No
2591,fine-tuned,CausalLM/preview-1-hf,16.48,0.56,0.36,0.02,0.26,0.34,0.36,,bfloat16,9.543B,-,1.28 kg,0,-,2025-01-26,0,Removed,Yes,Yes,Yes,No,No
2631,chat,stabilityai/stablelm-2-12b-chat,16.25,0.41,0.47,0.02,0.27,0.39,0.27,,bfloat16,12.143B,other,1.09 kg,87,2024-04-04,2024-06-12,0,stabilityai/stablelm-2-12b-chat,Yes,Yes,Yes,No,No
2653,chat,CohereForAI/aya-23-8B,16.0,0.47,0.43,0.02,0.28,0.39,0.23,,float16,8.028B,cc-by-nc-4.0,1.20 kg,402,2024-05-19,2024-06-12,0,CohereForAI/aya-23-8B,Yes,Yes,Yes,No,No
2659,chat,HuggingFaceH4/zephyr-7b-gemma-v0.1,15.93,0.34,0.46,0.08,0.29,0.37,0.28,,bfloat16,8.538B,other,1.48 kg,122,2024-03-01,2024-06-12,2,google/gemma-7b,Yes,Yes,Yes,No,No
2662,pretrained,speakleash/Bielik-11B-v2,15.91,0.24,0.49,0.07,0.29,0.39,0.31,,bfloat16,11.169B,apache-2.0,0.92 kg,38,2024-08-26,2024-10-16,0,speakleash/Bielik-11B-v2,No,Yes,Yes,No,No
2667,chat,google/gemma-2-2b-jpn-it,15.89,0.53,0.42,0.0,0.28,0.37,0.25,,bfloat16,2.614B,gemma,0.85 kg,160,2024-09-25,2024-10-14,2,google/gemma-2-2b,Yes,Yes,Yes,No,No
2681,pretrained,tiiuae/Falcon3-3B-Base,15.75,0.28,0.44,0.12,0.3,0.37,0.29,,bfloat16,3.228B,other,0.48 kg,15,2024-12-13,2024-12-13,0,tiiuae/Falcon3-3B-Base,No,Yes,Yes,No,No
2683,pretrained,NousResearch/Yarn-Solar-10b-32k,15.72,0.19,0.5,0.03,0.3,0.41,0.33,,bfloat16,10B,apache-2.0,1.39 kg,10,2024-01-17,2024-06-12,0,NousResearch/Yarn-Solar-10b-32k,No,Yes,Yes,No,No
2705,pretrained,microsoft/phi-2,15.47,0.27,0.49,0.03,0.27,0.41,0.26,,float16,2.78B,mit,0.42 kg,3269,2023-12-13,2024-06-09,0,microsoft/phi-2,No,Yes,Yes,No,No
2706,merge,mlabonne/phixtral-2x2_8,15.46,0.34,0.49,0.03,0.27,0.36,0.26,,float16,4.458B,mit,0.96 kg,148,2024-01-07,2024-06-12,0,mlabonne/phixtral-2x2_8,Yes,Yes,Yes,Yes,No
2708,pretrained,google/gemma-7b,15.46,0.27,0.44,0.07,0.29,0.41,0.29,,bfloat16,8.538B,gemma,1.25 kg,3115,2024-02-08,2024-06-08,0,google/gemma-7b,No,Yes,Yes,No,No
2717,pretrained,Qwen/Qwen1.5-7B,15.36,0.27,0.46,0.05,0.3,0.41,0.29,,bfloat16,7.721B,other,1.83 kg,48,2024-01-22,2024-06-09,0,Qwen/Qwen1.5-7B,No,Yes,Yes,No,No
2719,chat,tiiuae/Falcon3-1B-Instruct,15.32,0.56,0.37,0.01,0.27,0.42,0.18,,bfloat16,1.669B,other,0.40 kg,34,2024-12-14,2024-12-16,1,tiiuae/Falcon3-1B-Base,Yes,Yes,Yes,No,No
2727,fine-tuned,WizardLMTeam/WizardLM-13B-V1.2,15.16,0.34,0.45,0.02,0.26,0.44,0.25,,float16,13B,llama2,3.52 kg,226,2023-07-25,2024-06-12,0,WizardLMTeam/WizardLM-13B-V1.2,No,Yes,Yes,No,No
2729,chat,TencentARC/LLaMA-Pro-8B-Instruct,15.14,0.45,0.42,0.02,0.27,0.42,0.19,,bfloat16,8.357B,llama2,3.11 kg,62,2024-01-06,2024-06-12,0,TencentARC/LLaMA-Pro-8B-Instruct,Yes,Yes,Yes,No,No
2730,pretrained,mistralai/Mistral-Nemo-Base-2407,15.14,0.16,0.5,0.05,0.29,0.39,0.35,,bfloat16,11.58B,apache-2.0,1.70 kg,288,2024-07-18,2024-07-19,0,mistralai/Mistral-Nemo-Base-2407,No,Yes,Yes,No,No
2731,pretrained,NousResearch/Yarn-Solar-10b-64k,15.12,0.2,0.49,0.03,0.3,0.4,0.31,,bfloat16,10B,apache-2.0,0.76 kg,15,2024-01-17,2024-06-12,0,NousResearch/Yarn-Solar-10b-64k,No,Yes,Yes,No,No
2733,pretrained,tiiuae/falcon-mamba-7b,15.12,0.33,0.43,0.04,0.31,0.42,0.23,,bfloat16,7B,other,3.61 kg,228,2024-07-17,2024-07-23,0,tiiuae/falcon-mamba-7b,No,Yes,Yes,No,No
2734,chat,NousResearch/Hermes-3-Llama-3.2-3B,15.12,0.38,0.44,0.03,0.28,0.4,0.25,,bfloat16,3.213B,llama3,1.10 kg,135,2024-12-03,2024-12-20,1,Removed,Yes,Yes,Yes,No,No
2744,chat,Qwen/Qwen2.5-1.5B-Instruct,15.03,0.45,0.43,0.02,0.26,0.37,0.28,,bfloat16,1.5B,apache-2.0,0.69 kg,301,2024-09-17,2024-09-19,1,Qwen/Qwen2.5-1.5B,Yes,Yes,Yes,No,No
2749,chat,mlabonne/OrpoLlama-3-8B,14.98,0.37,0.44,0.05,0.28,0.36,0.27,,float16,8.03B,other,0.89 kg,54,2024-04-18,2024-06-12,1,meta-llama/Meta-Llama-3-8B,Yes,Yes,Yes,No,No
2751,pretrained,Deci/DeciLM-7B,14.96,0.28,0.44,0.02,0.3,0.44,0.27,,bfloat16,7.044B,apache-2.0,0.64 kg,225,2023-12-10,2024-06-12,0,Deci/DeciLM-7B,No,Yes,Yes,No,No
2761,chat,Qwen/Qwen1.5-MoE-A2.7B-Chat,14.82,0.38,0.43,0.0,0.27,0.39,0.29,,bfloat16,14.316B,other,8.90 kg,114,2024-03-14,2024-06-12,0,Qwen/Qwen1.5-MoE-A2.7B-Chat,Yes,Yes,Yes,Yes,No
2762,chat,deepseek-ai/deepseek-llm-7b-chat,14.79,0.42,0.36,0.02,0.27,0.47,0.21,,bfloat16,7B,other,0.77 kg,115,2023-11-29,2024-06-12,0,deepseek-ai/deepseek-llm-7b-chat,Yes,Yes,Yes,No,No
2766,chat,HuggingFaceTB/SmolLM2-1.7B-Instruct,14.75,0.54,0.36,0.04,0.28,0.34,0.21,,bfloat16,1.711B,apache-2.0,0.63 kg,501,2024-10-31,2024-11-06,1,HuggingFaceTB/SmolLM2-1.7B-Instruct (Merge),Yes,Yes,Yes,No,No
2778,pretrained,LLM360/K2,14.57,0.23,0.5,0.02,0.28,0.4,0.3,,float16,65.286B,apache-2.0,8.84 kg,85,2024-04-17,2024-06-26,0,LLM360/K2,No,Yes,Yes,No,No
2779,pretrained,mistralai/Mistral-7B-v0.1,14.56,0.24,0.44,0.03,0.29,0.41,0.3,,bfloat16,7.242B,apache-2.0,0.68 kg,3556,2023-09-20,2024-06-12,0,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No
2800,fine-tuned,teknium/CollectiveCognition-v1.1-Mistral-7B,14.27,0.28,0.45,0.03,0.29,0.39,0.28,,float16,7B,apache-2.0,0.43 kg,79,2023-10-04,2024-06-12,1,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No
2806,fine-tuned,meta-llama/Llama-3.1-8B,14.22,0.12,0.47,0.05,0.31,0.38,0.33,,float16,8.03B,llama3.1,0.71 kg,1375,2024-07-14,2024-12-07,0,meta-llama/Llama-3.1-8B,No,Yes,Yes,No,No
2808,fine-tuned,microsoft/Orca-2-7b,14.22,0.22,0.45,0.01,0.26,0.5,0.23,,bfloat16,7B,other,1.21 kg,218,2023-11-14,2024-06-12,0,microsoft/Orca-2-7b,No,Yes,Yes,No,No
2809,pretrained,mistral-community/Mistral-7B-v0.2,14.22,0.23,0.45,0.03,0.29,0.4,0.3,,bfloat16,7.242B,apache-2.0,0.55 kg,232,2024-03-23,2024-06-12,0,mistral-community/Mistral-7B-v0.2,No,Yes,Yes,No,No
2810,pretrained,mistralai/Mistral-7B-v0.3,14.22,0.23,0.45,0.03,0.29,0.4,0.3,,bfloat16,7.248B,apache-2.0,0.66 kg,426,2024-05-22,2024-06-12,0,mistralai/Mistral-7B-v0.3,No,Yes,Yes,No,No
2815,fine-tuned,TencentARC/Mistral_Pro_8B_v0.1,14.2,0.21,0.45,0.06,0.28,0.42,0.28,,bfloat16,8.987B,apache-2.0,0.63 kg,66,2024-02-22,2024-06-12,0,TencentARC/Mistral_Pro_8B_v0.1,No,Yes,Yes,No,No
2822,pretrained,nvidia/Minitron-8B-Base,14.18,0.24,0.44,0.02,0.27,0.4,0.32,,bfloat16,7.22B,other,1.41 kg,63,2024-07-19,2024-09-25,0,nvidia/Minitron-8B-Base,No,Yes,Yes,No,No
2826,pretrained,ibm-granite/granite-3.0-2b-base,14.11,0.39,0.4,0.06,0.28,0.34,0.24,,bfloat16,2.634B,apache-2.0,1.05 kg,21,2024-10-02,-,0,ibm-granite/granite-3.0-2b-base,No,Yes,Yes,No,No
2833,chat,01-ai/Yi-6B-Chat,14.0,0.34,0.41,0.01,0.29,0.37,0.31,,bfloat16,6.061B,apache-2.0,0.56 kg,65,2023-11-22,2024-06-12,0,01-ai/Yi-6B-Chat,Yes,Yes,Yes,No,No
2834,chat,Qwen/Qwen2-1.5B-Instruct,13.99,0.34,0.39,0.06,0.26,0.43,0.25,,bfloat16,1.544B,apache-2.0,0.66 kg,134,2024-06-03,2024-06-12,0,Qwen/Qwen2-1.5B-Instruct,Yes,Yes,Yes,No,No
2838,pretrained,stabilityai/stablelm-2-12b,13.94,0.16,0.45,0.04,0.28,0.45,0.31,,bfloat16,12.143B,other,1.47 kg,119,2024-03-21,2024-06-12,0,stabilityai/stablelm-2-12b,No,Yes,Yes,No,No
2847,pretrained,meta-llama/Meta-Llama-3.1-8B,13.87,0.13,0.47,0.05,0.3,0.38,0.32,,bfloat16,8.03B,llama3.1,3.60 kg,1375,2024-07-14,2024-07-23,0,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No
2849,fine-tuned,openchat/openchat_v3.2,13.85,0.3,0.43,0.01,0.27,0.43,0.24,,bfloat16,13B,llama2,5.30 kg,42,2023-07-30,2024-06-12,0,openchat/openchat_v3.2,No,Yes,Yes,No,No
2853,pretrained,tiiuae/falcon-11B,13.81,0.33,0.44,0.03,0.27,0.4,0.24,,bfloat16,11.103B,unknown,1.08 kg,212,2024-05-09,2024-06-09,0,tiiuae/falcon-11B,No,Yes,Yes,No,No
2854,chat,meta-llama/Llama-3.2-1B-Instruct,13.81,0.57,0.35,0.03,0.28,0.33,0.17,,bfloat16,1.24B,llama3.2,0.40 kg,742,2024-09-18,2024-09-23,0,meta-llama/Llama-3.2-1B-Instruct,Yes,Yes,Yes,No,No
2856,pretrained,Qwen/Qwen2.5-1.5B,13.8,0.27,0.41,0.09,0.29,0.36,0.29,,bfloat16,1.5B,apache-2.0,1.25 kg,62,2024-09-15,2024-09-19,0,Qwen/Qwen2.5-1.5B,No,Yes,Yes,No,No
2863,chat,nvidia/Hymba-1.5B-Instruct,13.74,0.6,0.31,0.0,0.29,0.33,0.2,,bfloat16,1.523B,other,6.71 kg,222,2024-10-31,2024-12-06,1,nvidia/Hymba-1.5B-Instruct (Merge),Yes,Yes,Yes,No,No
2866,pretrained,google/recurrentgemma-9b,13.68,0.31,0.4,0.06,0.29,0.38,0.26,,bfloat16,9B,gemma,23.21 kg,58,2024-06-07,2024-07-04,0,google/recurrentgemma-9b,No,Yes,Yes,No,No
2870,chat,ibm-granite/granite-3.0-3b-a800m-instruct,13.66,0.43,0.38,0.07,0.28,0.35,0.22,,bfloat16,3.374B,apache-2.0,3.08 kg,17,2024-10-03,2024-10-20,1,ibm-granite/granite-3.0-3b-a800m-instruct (Merge),Yes,Yes,Yes,No,No
2873,pretrained,01-ai/Yi-6B,13.61,0.29,0.43,0.02,0.27,0.39,0.3,,bfloat16,6.061B,apache-2.0,0.55 kg,371,2023-11-01,2024-06-12,0,01-ai/Yi-6B,No,Yes,Yes,No,No
2879,pretrained,google/flan-ul2,13.55,0.24,0.51,0.0,0.29,0.38,0.25,,bfloat16,19.46B,apache-2.0,0.56 kg,554,2023-03-03,2024-08-07,0,google/flan-ul2,No,Yes,Yes,No,No
2883,pretrained,NousResearch/Yarn-Mistral-7b-64k,13.5,0.21,0.43,0.03,0.29,0.41,0.29,,bfloat16,7B,apache-2.0,0.54 kg,51,2023-10-31,2024-06-12,0,NousResearch/Yarn-Mistral-7b-64k,No,Yes,Yes,No,No
2886,fine-tuned,google/flan-t5-xxl,13.49,0.22,0.51,0.0,0.27,0.42,0.23,,float16,11.267B,apache-2.0,0.71 kg,1230,2022-10-21,2024-09-06,0,google/flan-t5-xxl,No,Yes,Yes,No,No
2889,pretrained,meta-llama/Meta-Llama-3-8B,13.46,0.15,0.46,0.04,0.31,0.36,0.32,,bfloat16,8.03B,llama3,0.87 kg,6004,2024-04-17,2024-06-12,0,meta-llama/Meta-Llama-3-8B,No,Yes,Yes,No,No
2909,pretrained,NousResearch/Yarn-Mistral-7b-128k,13.22,0.19,0.43,0.03,0.3,0.41,0.29,,bfloat16,7B,apache-2.0,0.55 kg,572,2023-10-31,2024-06-12,0,NousResearch/Yarn-Mistral-7b-128k,No,Yes,Yes,No,No
2911,chat,allenai/OLMoE-1B-7B-0924-Instruct,13.21,0.47,0.39,0.0,0.27,0.38,0.19,,bfloat16,6.919B,apache-2.0,5.49 kg,87,2024-08-13,2024-09-30,2,allenai/OLMoE-1B-7B-0924,Yes,Yes,Yes,Yes,No
2915,pretrained,ibm-granite/granite-3.1-2b-base,13.19,0.35,0.4,0.06,0.28,0.35,0.23,,bfloat16,2.534B,apache-2.0,0.49 kg,10,2024-12-06,2024-12-16,0,ibm-granite/granite-3.1-2b-base,No,Yes,Yes,No,No
2929,merge,abacusai/bigyi-15b,12.98,0.21,0.43,0.02,0.31,0.35,0.3,,float16,15.058B,other,1.87 kg,11,2024-03-06,2024-09-17,1,abacusai/bigyi-15b (Merge),No,Yes,Yes,No,No
2937,fine-tuned,nvidia/AceInstruct-1.5B,12.9,0.39,0.39,0.0,0.27,0.35,0.26,,bfloat16,1.777B,cc-by-nc-4.0,0.85 kg,11,2025-01-15,2025-01-24,0,nvidia/AceInstruct-1.5B,Yes,Yes,Yes,No,No
2940,chat,google/gemma-7b-it,12.87,0.39,0.36,0.02,0.28,0.43,0.17,,bfloat16,8.538B,gemma,1.10 kg,1152,2024-02-13,2024-06-12,1,google/gemma-7b,Yes,Yes,Yes,No,No
2941,fine-tuned,openchat/openchat_v3.2_super,12.85,0.29,0.42,0.02,0.26,0.42,0.24,,bfloat16,13B,llama2,5.03 kg,36,2023-09-04,2024-06-12,0,openchat/openchat_v3.2_super,No,Yes,Yes,No,No
2944,chat,meta-llama/Llama-2-70b-chat-hf,12.75,0.5,0.3,0.01,0.26,0.37,0.24,,float16,68.977B,llama2,22.90 kg,2175,2023-07-14,2024-06-12,0,meta-llama/Llama-2-70b-chat-hf,Yes,Yes,Yes,No,No
2946,chat,mistralai/Mistral-7B-Instruct-v0.1,12.7,0.45,0.34,0.02,0.25,0.38,0.24,,bfloat16,7.242B,apache-2.0,1.22 kg,1554,2023-09-27,2024-06-27,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
2950,pretrained,bigcode/starcoder2-15b,12.55,0.28,0.44,0.06,0.27,0.35,0.24,,bfloat16,15.958B,bigcode-openrail-m,35.04 kg,581,2024-02-20,2024-06-09,0,bigcode/starcoder2-15b,No,Yes,Yes,No,No
2958,pretrained,Qwen/Qwen1.5-MoE-A2.7B,12.42,0.27,0.41,0.0,0.26,0.4,0.28,,bfloat16,14.316B,other,9.55 kg,196,2024-02-29,2024-06-13,0,Qwen/Qwen1.5-MoE-A2.7B,No,Yes,Yes,Yes,No
2963,chat,stabilityai/stablelm-zephyr-3b,12.36,0.37,0.39,0.04,0.24,0.42,0.18,,bfloat16,2.795B,other,0.38 kg,250,2023-11-21,2024-06-12,0,stabilityai/stablelm-zephyr-3b,Yes,Yes,Yes,No,No
2965,chat,Qwen/Qwen1.5-4B-Chat,12.34,0.32,0.4,0.01,0.27,0.4,0.24,,bfloat16,3.95B,other,0.87 kg,38,2024-01-30,2024-06-12,0,Qwen/Qwen1.5-4B-Chat,Yes,Yes,Yes,No,No
2972,fine-tuned,teknium/OpenHermes-13B,12.17,0.27,0.42,0.01,0.27,0.4,0.24,,bfloat16,13B,mit,31.12 kg,55,2023-09-06,2024-06-12,1,NousResearch/Llama-2-13b-hf,No,Yes,Yes,No,No
2978,chat,internlm/internlm2_5-1_8b-chat,12.11,0.38,0.45,0.0,0.29,0.36,0.13,,bfloat16,1.89B,other,0.77 kg,25,2024-07-30,2024-08-07,0,internlm/internlm2_5-1_8b-chat,Yes,Yes,Yes,No,No
2987,fine-tuned,TencentARC/MetaMath-Mistral-Pro,12.01,0.21,0.44,0.05,0.27,0.35,0.25,,bfloat16,8.987B,apache-2.0,0.60 kg,5,2024-02-26,2024-06-12,0,TencentARC/MetaMath-Mistral-Pro,No,Yes,Yes,No,No
2992,fine-tuned,Qwen/Qwen2-Math-7B,11.94,0.27,0.39,0.24,0.26,0.36,0.12,,bfloat16,7.616B,apache-2.0,1.56 kg,13,2024-08-08,2024-08-19,0,Qwen/Qwen2-Math-7B,Yes,Yes,Yes,No,No
2993,pretrained,nvidia/Minitron-4B-Base,11.94,0.22,0.41,0.02,0.27,0.41,0.26,,bfloat16,4B,other,1.19 kg,129,2024-07-19,2024-09-25,0,nvidia/Minitron-4B-Base,No,Yes,Yes,No,No
2995,pretrained,01-ai/Yi-6B-200K,11.93,0.08,0.43,0.01,0.28,0.46,0.28,,bfloat16,6.061B,apache-2.0,0.56 kg,172,2023-11-06,2024-06-12,0,01-ai/Yi-6B-200K,No,Yes,Yes,No,No
3009,chat,ibm-granite/granite-7b-instruct,11.81,0.3,0.37,0.01,0.29,0.4,0.23,,bfloat16,6.738B,apache-2.0,0.71 kg,6,2024-05-19,2024-10-02,1,ibm/granite-7b-base,Yes,Yes,Yes,No,No
3013,chat,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11.73,0.4,0.34,0.0,0.28,0.37,0.23,,bfloat16,7.616B,mit,0.68 kg,358,2025-01-20,2025-01-20,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Yes,Yes,Yes,No,No
3021,pretrained,google/flan-t5-xl,11.59,0.22,0.45,0.0,0.25,0.42,0.21,,float16,2.85B,apache-2.0,0.35 kg,481,2022-10-21,2024-08-07,0,google/flan-t5-xl,No,Yes,Yes,No,No
3022,pretrained,google/flan-t5-xl,11.59,0.22,0.45,0.0,0.25,0.42,0.21,,bfloat16,2.85B,apache-2.0,0.29 kg,481,2022-10-21,2024-08-07,0,google/flan-t5-xl,No,Yes,Yes,No,No
3026,fine-tuned,nvidia/Llama-3.1-Minitron-4B-Depth-Base,11.53,0.16,0.42,0.01,0.26,0.4,0.28,,bfloat16,4.02B,other,0.47 kg,20,2024-08-13,2024-09-25,0,nvidia/Llama-3.1-Minitron-4B-Depth-Base,No,Yes,Yes,No,No
3035,pretrained,ibm/PowerLM-3b,11.45,0.33,0.37,0.03,0.28,0.36,0.2,,bfloat16,3.512B,apache-2.0,0.56 kg,18,2024-08-14,2025-01-07,0,ibm/PowerLM-3b,No,Yes,Yes,No,No
3039,chat,nvidia/AceMath-1.5B-Instruct,11.38,0.32,0.4,0.0,0.27,0.36,0.21,,bfloat16,1.777B,cc-by-nc-4.0,0.83 kg,4,2025-01-13,2025-01-24,0,nvidia/AceMath-1.5B-Instruct,Yes,Yes,Yes,No,No
3040,pretrained,tiiuae/falcon-40b,11.36,0.25,0.4,0.02,0.27,0.36,0.25,,bfloat16,40B,apache-2.0,21.79 kg,2423,2023-05-24,2024-06-09,0,tiiuae/falcon-40b,No,Yes,Yes,No,No
3042,pretrained,Qwen/Qwen1.5-4B,11.33,0.24,0.41,0.03,0.28,0.36,0.25,,bfloat16,3.95B,other,1.64 kg,34,2024-01-22,2024-06-13,0,Qwen/Qwen1.5-4B,No,Yes,Yes,No,No
3053,chat,meta-llama/Llama-2-13b-chat-hf,11.02,0.4,0.33,0.01,0.23,0.4,0.19,,float16,13.016B,llama2,0.87 kg,1053,2023-07-13,2024-06-12,0,meta-llama/Llama-2-13b-chat-hf,Yes,Yes,Yes,No,No
3054,pretrained,meta-llama/Llama-2-13b-hf,11.01,0.25,0.41,0.01,0.28,0.35,0.24,,float16,13.016B,llama2,1.11 kg,583,2023-07-13,2024-06-12,0,meta-llama/Llama-2-13b-hf,No,Yes,Yes,No,No
3063,fine-tuned,lmsys/vicuna-7b-v1.5,10.78,0.24,0.39,0.01,0.26,0.42,0.21,,float16,7B,llama2,0.60 kg,328,2023-07-29,2024-06-12,0,lmsys/vicuna-7b-v1.5,No,Yes,Yes,No,No
3064,chat,allenai/OLMo-7B-Instruct-hf,10.76,0.35,0.37,0.01,0.27,0.38,0.18,,bfloat16,7B,apache-2.0,1.20 kg,3,2024-06-04,2024-06-27,0,allenai/OLMo-7B-Instruct-hf,Yes,Yes,Yes,No,No
3074,chat,internlm/internlm2-chat-1_8b,10.55,0.24,0.45,0.03,0.27,0.36,0.18,,bfloat16,1.889B,other,0.60 kg,30,2024-01-30,2024-06-12,0,internlm/internlm2-chat-1_8b,Yes,Yes,Yes,No,No
3077,pretrained,Qwen/Qwen2-1.5B,10.45,0.21,0.36,0.07,0.26,0.37,0.26,,bfloat16,1.544B,apache-2.0,1.11 kg,85,2024-05-31,2024-06-09,0,Qwen/Qwen2-1.5B,No,Yes,Yes,No,No
3078,chat,tiiuae/falcon-40b-instruct,10.43,0.25,0.41,0.02,0.25,0.38,0.23,,bfloat16,40B,apache-2.0,19.73 kg,1173,2023-05-25,2024-06-09,0,tiiuae/falcon-40b-instruct,No,Yes,Yes,No,No
3088,fine-tuned,lmsys/vicuna-13b-v1.3,10.28,0.33,0.34,0.01,0.27,0.37,0.22,,float16,13B,-,1.09 kg,197,2023-06-18,2024-06-28,0,lmsys/vicuna-13b-v1.3,Yes,Yes,Yes,No,No
3091,chat,deepseek-ai/deepseek-moe-16b-chat,10.18,0.37,0.33,0.02,0.22,0.38,0.2,,bfloat16,16.376B,other,4.59 kg,126,2024-01-09,2024-06-12,0,deepseek-ai/deepseek-moe-16b-chat,Yes,Yes,Yes,Yes,No
